STRING ID,SVENSKA
LANGUAGE_NAME,
LANGUAGE_MAINTAINER,Arrowfan
BEGIN,
;Main Form;,
mf_title,Pokémon 3D Launcher
mf_button_play,Launch
mf_button_checkforupdates,Kolla efter uppdateringar
mf_button_newprofile,Ny Profil
mf_button_editprofile,Ändra Profil
mf_button_delete,Radera Profil
mf_groupbox_common,Common
mf_checkbox_checkforupdatesonstartup,Leta efter uppdatering vid uppstart
mf_label_language,Språk:
mf_groupbox_gamejolt,GameJolt
mf_label_username,Användarnamn:
mf_label_token,Token:
mf_label_token_hint,"Detta är din GameJolt Token, inte lösenordet till ditt GameJolt konto! För mer information, läs mer på FAQ tabben"
mf_checkbox_savecredentials,Kom ihåg mig
mf_checkbox_autologin,Håll mig inloggad
mf_groupbox_network,Nätverk
mf_label_selecteddl,Selected DL:
mf_button_save,Spara
mf_textbox_credits,"Launcher by {0}
Translation:
{1}"
mf_tabpage_news,Nyheter
mf_tabpage_logger,Logger
mf_tabpage_faq,FAQ
mf_tabpage_settings,Inställningar
mf_tabpage_about,Om
mf_groupbox_game,Spela
mf_checkbox_checkserveronstart,Check for Official Server presence on start
;GameJolt Form;,
gj_title,Du är inte inloggad i GameJolt! 
gj_wtextbox_username,Användarnamn
gj_wtextbox_token,Token
gj_checkbox_autologin,Håll mig inloggad
gj_checkbox_savecredentials,Kom ihåg mig
gj_label_questionchar,?
gj_button_login,Logga In
gj_button_playoffline,Spela Offline
gj_button_signin,Skapa Konto
;Profile Form;,
pf_title,Profil Editor
pf_groupbox_profileinfo,Profil Info
pf_label_profiletype,Profil Typ:
pf_label_profilename,Profil Namn:
pf_label_version,Version:
pf_label_gamemode,Spelläge:
pf_button_availablegamemods,Tillgängliga Spellägen
pf_label_launchargs,Start Alternativ:
pf_label_noedit,"You can't edit the 'Latest' Profile!
Create a new profile!"
pf_button_openprofiledir,Open Directory
pf_groupbox_modifications,Modifications
pf_datagridview_enabled,Enabled
pf_datagridview_author,Author
pf_datagridview_name,Name
pf_datagridview_category,Category
pf_datagridview_version,Version
pf_datagridview_downloads,Downloads
pf_datagridview_rating,Rating
pf_datagridview_gameversion,Game Version
pf_button_availablemodifications,Available Modifications
pf_button_cancel,Cancel
pf_button_save,Save
pf_profile_latest,Newest Version
;ReleaseDownloader Form;,
rd_title,Downloader
rd_label_downloadprogress,Download Progress:
rd_label_extractionprogress,Extraction Progress:
;PerFileUpdater Form;,
pfu_title,Updater
pfu_label_updateinfoprogress,Update Info Download Progress:
pfu_label_comparisonprogress,Comparison Progress:
pfu_label_downloadprogress,Download Progress:
;MessageBox;,
DLNotSelected,Can't update! Select a DL first in Settings tab!
DLNotSelectedTitle,Error!
SomethingNotFoundError,"Pokémon 3D requires {0}
Please visit {1} to download.
Would you like to open the webpage now?"
SomethingNotFoundErrorTitle,Error!
DownloadError,Failed to download a file. Please try again!
DownloadErrorTitle,Error!
FileReplacementError,There was an error while replacing the old files with the new ones!
FileReplacementErrorTitle,Error!
LauncherUpdateAvailable,"A new Launcher version is available!
Would you like to update?"
LauncherUpdateAvailableTitle,Update is Available!
NoInternet,Could not connect to GitHub! Is Internet connection available?
NoInternetTitle,Update Check Error!
NotDownloaded,"Profile '{0}' was not downloaded!
Would you like to download it?"
NotDownloadedTitle,Not Downloaded!
NoUpdateNeeded,The Profile doesn't need an update!
NoUpdateNeededTitle,Färdig!
ProfileUpToDate,Profile '{0}' is up to date!
ProfileUpToDateTitle,Kolla efter uppdateringar
ToolTipSaveCredentials,"Enable ""Remember Me"" first!"
UpdateAvailable,Would you like to download the [{0}] version to [{1}]?
UpdateAvailableTitle,En uppdatering finns att hämta!
Updated,Profilen har uppdaterats!
UpdateDisabled,"Update is disabled! Please download the new version, don't use updating."
UpdateDisabledTitle,Fel!
UpdatedTitle,Lyckades!
END,
